NU_ANO_CENSO,NO_REGIAO_IES,TP_REDE,NO_CURSO,CO_CURSO,NO_CINE_AREA_GERAL,,TP_GRAU_ACADEMICO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_CONC_PROCESCPUBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Nordeste,1,Abi - Matemática,5001148,Programas básicos,,0,81,186,67,23,44,28,3,36,0,0,0,62,23,39,28,3,31,0,0,0,0,0,0,0,0,0,0,0,0,24,22,11,24,22,11,0,0,0,67,0,62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Abi - Música,5001044,Programas básicos,,0,52,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Abi - Psicologia,5001045,Programas básicos,,0,123,2377,106,80,26,42,7,57,0,0,0,101,76,25,40,7,54,0,0,0,0,0,0,0,0,0,0,0,0,53,48,33,51,46,33,0,0,0,101,5,98,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Administração,145,"Negócios, administração e direito",,1,271,1052,250,115,135,106,35,107,0,0,2,1289,565,724,375,97,794,16,5,2,181,75,106,67,11,96,7,0,0,111,94,65,631,534,397,67,53,43,218,32,860,428,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Agronomia,135,"Agricultura, silvicultura, pesca e veterinária",,1,169,434,147,71,76,72,12,62,0,0,1,742,318,424,187,50,496,6,2,1,61,29,32,18,5,36,1,1,0,48,42,19,335,297,196,23,22,10,138,9,518,224,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Arquitetura E Urbanismo,132,"Engenharia, produção e construção",,1,82,765,81,62,19,37,7,37,0,0,0,575,421,154,205,38,329,3,0,0,77,58,19,35,8,33,1,0,0,44,40,25,267,235,166,27,21,17,77,4,358,217,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Arquitetura E Urbanismo,1138293,"Engenharia, produção e construção",,1,61,333,60,34,26,33,3,24,0,0,0,422,265,157,146,16,255,3,2,0,51,37,14,18,2,31,0,0,0,26,22,12,175,147,101,23,19,14,58,2,258,164,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sudeste,1,Arquivologia,157,"Ciências sociais, comunicação e informação",,1,155,177,72,45,27,19,9,44,0,0,0,331,183,148,76,27,225,3,0,0,38,19,19,13,2,23,0,0,0,15,12,10,150,134,94,18,16,11,60,12,247,84,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Artes Cênicas,122198,Educação,,2,37,15,3,1,2,1,1,1,0,0,0,65,35,30,14,12,39,0,0,0,8,6,2,3,2,3,0,0,0,1,1,1,26,22,19,3,3,2,2,1,43,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Sul,1,Artes Cênicas,122200,Educação,,2,0,0,0,0,0,0,0,0,0,0,0,93,56,37,21,13,57,2,0,0,13,7,6,4,2,7,0,0,0,0,0,0,39,33,28,4,3,2,0,0,55,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
